epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.764129638671875,0.0010000000474974513,0.6409565210342407,0.8478333353996277,0.3918878138065338
1,0.8318703770637512,0.0010000000474974513,0.4586644172668457,0.8733333349227905,0.33297616243362427
2,0.8504815101623535,0.0010000000474974513,0.40462198853492737,0.89083331823349,0.2876036763191223
3,0.8653148412704468,0.0010000000474974513,0.3712146580219269,0.8951666951179504,0.27763813734054565
4,0.8705185055732727,0.0010000000474974513,0.35334283113479614,0.8808333277702332,0.3139261305332184
5,0.8779629468917847,0.0010000000474974513,0.33557677268981934,0.906333327293396,0.2573847770690918
6,0.8805555701255798,0.0010000000474974513,0.3261660039424896,0.9038333296775818,0.2517741620540619
7,0.8850740790367126,0.0010000000474974513,0.31717371940612793,0.909500002861023,0.2440173178911209
8,0.8901666402816772,0.0010000000474974513,0.30277878046035767,0.9098333120346069,0.24029497802257538
9,0.8916110992431641,0.0010000000474974513,0.29831433296203613,0.9075000286102295,0.24374540150165558
10,0.8933703899383545,0.0010000000474974513,0.29350745677948,0.9136666655540466,0.23088574409484863
11,0.8966481685638428,0.0010000000474974513,0.28474828600883484,0.918833315372467,0.21822479367256165
12,0.8964629769325256,0.0010000000474974513,0.2814112901687622,0.9169999957084656,0.22470249235630035
13,0.8995370268821716,0.0010000000474974513,0.274682879447937,0.9181666374206543,0.2216106504201889
14,0.9017037153244019,0.0010000000474974513,0.26970571279525757,0.921500027179718,0.20845896005630493
15,0.9038518667221069,0.0010000000474974513,0.26558831334114075,0.9168333411216736,0.22049157321453094
16,0.9047407507896423,0.0010000000474974513,0.26318567991256714,0.9206666946411133,0.21080870926380157
17,0.9054074287414551,0.0010000000474974513,0.2630613148212433,0.9193333387374878,0.21003039181232452
18,0.9110000133514404,0.0005000000237487257,0.24362753331661224,0.9294999837875366,0.19322055578231812
19,0.9122777581214905,0.0005000000237487257,0.24126365780830383,0.9266666769981384,0.1973111927509308
20,0.9133889079093933,0.0005000000237487257,0.2380938082933426,0.9273333549499512,0.19622990489006042
21,0.9145925641059875,0.0005000000237487257,0.23488451540470123,0.9265000224113464,0.1932470053434372
22,0.9167037010192871,0.0002500000118743628,0.22811096906661987,0.9315000176429749,0.1883591115474701
23,0.9174444675445557,0.0002500000118743628,0.22372983396053314,0.9306666851043701,0.18444150686264038
24,0.9198148250579834,0.0002500000118743628,0.22116586565971375,0.9323333501815796,0.18396830558776855
25,0.9184259176254272,0.0002500000118743628,0.22325249016284943,0.9288333058357239,0.18865804374217987
26,0.920462965965271,0.0002500000118743628,0.2184615284204483,0.9288333058357239,0.18707190454006195
27,0.9198148250579834,0.0002500000118743628,0.21992851793766022,0.9318333268165588,0.18216530978679657
28,0.9199073910713196,0.0002500000118743628,0.21880531311035156,0.9316666722297668,0.18269358575344086
29,0.9192222356796265,0.0002500000118743628,0.21803441643714905,0.9315000176429749,0.17915737628936768
30,0.919259250164032,0.0002500000118743628,0.21904118359088898,0.9286666512489319,0.18464899063110352
31,0.9221110939979553,0.0002500000118743628,0.21541865170001984,0.9301666617393494,0.1820567399263382
32,0.9219074249267578,0.0002500000118743628,0.21586430072784424,0.9309999942779541,0.1786615401506424
33,0.9218518733978271,0.0002500000118743628,0.21491646766662598,0.9330000281333923,0.17802122235298157
34,0.9217777848243713,0.0002500000118743628,0.21370072662830353,0.9315000176429749,0.17855656147003174
35,0.9230740666389465,0.0002500000118743628,0.21220266819000244,0.9321666955947876,0.18286371231079102
36,0.9211111068725586,0.0002500000118743628,0.21133306622505188,0.9318333268165588,0.18003462255001068
37,0.9243518710136414,0.0001250000059371814,0.20861150324344635,0.9330000281333923,0.17792247235774994
38,0.924574077129364,0.0001250000059371814,0.20708729326725006,0.9331666827201843,0.17744970321655273
39,0.9257222414016724,0.0001250000059371814,0.2050260305404663,0.9336666464805603,0.1773419827222824
40,0.9254814982414246,0.0001250000059371814,0.2025817632675171,0.9340000152587891,0.17795753479003906
41,0.9248148202896118,0.0001250000059371814,0.20433354377746582,0.934333324432373,0.17623357474803925
42,0.9265555739402771,0.0001250000059371814,0.203902468085289,0.9358333349227905,0.17405818402767181
43,0.9263888597488403,0.0001250000059371814,0.2024466097354889,0.934166669845581,0.17560070753097534
44,0.9258518815040588,0.0001250000059371814,0.20191127061843872,0.934166669845581,0.1746636927127838
45,0.9260740876197815,0.0001250000059371814,0.2013363540172577,0.934333324432373,0.17664723098278046
46,0.92637038230896,6.25000029685907e-05,0.1997809112071991,0.9348333477973938,0.17532506585121155
47,0.9263888597488403,6.25000029685907e-05,0.1994573175907135,0.9333333373069763,0.17538224160671234
48,0.927740752696991,6.25000029685907e-05,0.19794918596744537,0.9350000023841858,0.17370331287384033
49,0.9277222156524658,6.25000029685907e-05,0.19656842947006226,0.9353333115577698,0.17301298677921295
